name,class,address,latitude,longitude
北投溫泉博物館,當地歷史博物館,台北市北投區中山路2號,25.1365694,121.50715
湯瀨溫泉SPA,酒店,台北市北投區行義路300巷1號,25.1384339,121.52855
石牌商城,夜市,台北市北投區裕民一路30號,25.116731,121.5163978
艋舺服飾商圈,購物中心,台北市萬華區,25.0343459,121.4994553
廣州街觀光夜市,夜市,台北市萬華區廣州街,25.036731,121.4976133
西門町商圈,商店,台北市萬華區漢中街121-1號,25.0429093,121.5076483
上嘉鳥園,鳥店,台北市萬華區和平西路三段31號,25.0348492,121.5038692
家吶子台式居酒屋 Ka-la̍h-á,居酒屋,台北市萬華區東園街68-4號,25.0256716,121.4964354
大理街服飾商圈,商店與購物,台北市萬華區,25.0346347,121.5001533
社團法人台北市士林夜市商圈聯合會,夜市,"No. 6號, 大西路士林區台北市111",25.089734,121.524156
社團法人台北市士林夜市商圈聯合會,夜市,"No. 6號, 大西路士林區台北市111",25.089734,121.524156
蘭雅公園,公園,台北市士林區德行東路129巷31號,25.1097423,121.5298742
台北伊頓自助婚紗攝影工作室,結婚攝影師,台北市中正區中華路一段59號7樓,25.0411678,121.5085659
沅陵皮鞋街 - 鞋子商店街,購物中心,台北市中正區沅陵街1號,25.0428905,121.512709
概念電器有限公司,家庭影院店,台北市中正區中華路一段29-4號,25.0454913,121.5095674
重慶南路書店街,文化地標,台北市中正區,25.0445895,121.5132238
南昌家具街,公車站,台北市中正區,25.02713,121.52085
光華商場 (光華數位新天地),電器零售,台北市中正區市民大道三段8號,25.0452719,121.5320331
台大公館商圈,旅遊景點,台北市中正區思源街177號,25.0149034,121.5322684
東區商圈,購物中心,台北市大安區,25.0417945,121.546569
迪化老街,旅遊景點,台北市大同區迪化街一段,25.0583211,121.5096211
後站商圈,公車站,新北市板橋區,25.0072369,121.461008
華陰街商圈,商業園,台北市大同區華陰街,25.050496,121.5144657
大龍峒人文商圈 | 台北老城區,旅遊景點,台北市大同區重慶北路三段295巷6號,25.073483,121.5141442
寧夏夜市,夜市,台北市大同區寧夏路58號2樓,25.056676,121.515363
台北市圓山商圈發展促進會,公司辦公室,台北市大同區酒泉街10巷25號,25.0698689,121.5196623
花博公園圓山園區,城市公園,台北市中山區玉門街1號,25.0716662,121.5221637
Parko Parco 牛肚包 義大利小酒館中山店,意大利餐廳,台北市大同區赤峰街8巷20之1號,25.0537904,121.5187092
晴光商圈,夜市,台北市中山區雙城街17巷11號,25.0644891,121.5230271
四平陽光商圈,市場,台北市中山區四平街79號,25.053628,121.5336389
台北伊頓自助婚紗攝影工作室,結婚攝影師,台北市中正區中華路一段59號7樓,25.0411678,121.5085659
欣欣大眾百貨,百貨公司,台北市中山區林森北路247號,25.0541812,121.5256281
條通商圈,卡拉 OK 酒吧,台北市中山區,25.051647,121.522645
新光三越 台北南西店一館,百貨公司,台北市中山區南京西路12號,25.0523201,121.5210989
小酌之家,台灣餐廳,台北市中山區吉林路420號,25.0659315,121.5303149
捷運中山國中站,巴士站,台北市松山區,25.0607968,121.5443924
濱江汽車駕訓班,駕駛學校,台北市中山區濱江街218號,25.0722172,121.5402406
春大直,美食廣場,台北市中山區樂群三路303號,25.0828015,121.5598921
CITYLINK南港店,購物中心,台北市南港區忠孝東路七段369號,25.0526405,121.6059866
中國信託金融園區,企業園區,台北市南港區經貿二路168-188號,25.0589422,121.6154442
賜海水族（民權店）,水族店,台北市松山區民權東路五段3號,25.0633165,121.5650077
南京復興,地鐵站,台北市松山區南京東路三段253號,25.0520785,121.544009
民生社區雜貨店新東商場,雜貨店,台北市松山區新東街56號,25.0617645,121.565279
哈拉影城,戲院,台北市內湖區康寧路三段72號,25.0699677,121.6113089
大潤發內湖店,批發店,台北市內湖區舊宗路一段188號,25.0624547,121.5756531
737巷美食街,夜市,台北市內湖區內湖路一段737巷,25.079738,121.5786619
西湖市場,傳統市場,台北市內湖區內湖路一段285號,25.0824612,121.5665585
景美夜市,夜市,台北市文山區景美街,24.9906733,121.5417191
貓空找茶市集,景點,台北市文山區指南路三段38巷35號,24.9690392,121.5883192
彩虹居快餐館,餐廳,台北市文山區興隆路三段61號,25.000335,121.55615
吳興商圈,傳統市場,台北市信義區吳興街,25.0277625,121.5631052
五分埔商圈,服飾批發市場,台北市信義區永吉路443巷9弄,25.0467024,121.5789698
新光三越 台北信義新天地A11,百貨公司,台北市信義區松壽路11號,25.0365955,121.5673381
捷運永春站,運輸服務,台北市信義區忠孝東路五段455號,25.0411245,121.5766852
東區商圈,購物中心,台北市大安區,25.0417945,121.546569
永康商圈,旅遊景點,台北市大安區永康街,25.0335158,121.5300045
啞舍,古董店,台北市大安區建國南路一段291巷9號,25.035825,121.5387886
文昌家具台北門市,傢俬店,台北市大安區文昌街272號,25.0321259,121.5563864
府中商圈,購物中心,新北市板橋區重慶路1號,25.0082617,121.4605782
北大商場,購物中心,新北市三峽區國際一街19號,24.9426464,121.3737687
老地方,中餐館,新北市三芝區淡金路二段21號,25.2595963,121.5028418
三重碧華布街,景點,新北市三重區碧華街184號,25.0821548,121.486193
興南夜市,夜市,新北市中和區信義街,24.9899688,121.5107306
中和緬甸街,旅遊景點,新北市中和區華新街,24.9841091,121.5079958
九份老街,旅遊景點,新北市瑞芳區基山街,25.1098695,121.8451827
生活好市吉-五股店,百貨公司,新北市五股區新五路二段69號-8號,25.0735566,121.4364939
八里渡船頭老街,旅遊景點,新北市八里區渡船頭街,25.1584429,121.4347089
福氣美食商圈,美食廣場,新北市土城區裕民路68號,24.9873357,121.4494438
坪林老街,歷史景點,新北市坪林區,24.9364225,121.7119639
平溪老街 第一家天燈,商店,新北市平溪區平溪街32號,25.0257067,121.7387858
碧潭水岸商圈（碧潭東岸商店街）,旅遊景點,新北市新店區新店路159號（碧潭東岸商店街）,24.9561884,121.5368213
新板特區,購物中心,新北市板橋區新站路28號,25.0134249,121.4669786
新板特區,購物中心,新北市板橋區新站路28號,25.0134249,121.4669786
【林口舊街】林口中正藝術商街,市場,新北市林口區中正路133號,25.0772011,121.393332
樂華夜市,夜市,新北市永和區永平路,25.0084156,121.5117271
生活圈,雜貨店,新北市樹林區博愛街13號,24.990989,121.4260156
東區商圈,購物中心,台北市大安區,25.0417945,121.546569
環遊市江子翠站捷運共構宅,連排房屋社區,新北市板橋區文化路二段367號,25.0310383,121.4730449
集鮮城複合式水產餐廳－新北 泰山 冷凍海鮮零售｜新鮮泰國蝦｜熱炒外帶內用｜現撈水產｜朋友聚餐｜熱炒聚餐 推薦,海鮮批發商,新北市泰山區泰林路二段173巷2號1樓,25.0607515,121.433554
淡水老街廣場,旅遊景點,新北市淡水區中正路1號,25.168927,121.4440921
烏來商圈,攝影工作室,新北市烏來區,24.8642055,121.5515561
猴硐煤礦博物園區,旅遊景點,新北市瑞芳區柴寮路42號,25.0866541,121.8278067
石碇老街,歷史景點,新北市石碇區,24.9907256,121.660808
新北市萬里商圈發展協會,協會或機構,台灣新北市 萬里區萬里里瑪鋉路221號1樓,25.1798139,121.6897431
蘆洲廟口夜市,夜市,新北市蘆洲區成功路92號,25.0832198,121.4716867
東北角及宜蘭海岸國家風景區福隆遊客中心,遊客中心,新北市貢寮區興隆街36號,25.0171775,121.9425546
金山老街,旅遊景點,新北市金山區金包里街,25.2218245,121.6382669
雙溪老街,歷史景點,新北市雙溪區泰昌街,25.0344966,121.864534
溪洲公有零售市場,傳統市場,新北市永和區勵行街42號,25.0135193,121.5167281
鶯歌陶瓷老街,旅遊景點,新北市鶯歌區尖山埔路,24.9513266,121.3502163
